!CSV A.01.01
!Keysight Technologies,N5242B,MY58422168,A.13.50.09
!Date: Friday, July 09, 2021 19:34:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),Sdd11(DB),Sdd11(DEG),Sdd12(DB),Sdd12(DEG),Sdc11(DB),Sdc11(DEG),Sdc12(DB),Sdc12(DEG),Sdd21(DB),Sdd21(DEG),Sdd22(DB),Sdd22(DEG),Sdc21(DB),Sdc21(DEG),Sdc22(DB),Sdc22(DEG),Scd11(DB),Scd11(DEG),Scd12(DB),Scd12(DEG),Scc11(DB),Scc11(DEG),Scc12(DB),Scc12(DEG),Scd21(DB),Scd21(DEG),Scd22(DB),Scd22(DEG),Scc21(DB),Scc21(DEG),Scc22(DB),Scc22(DEG)
320000000,-14.889291,-98.749496,-41.335239,20.501705,-49.346691,-169.86179,-50.411755,52.689564,23.608023,173.02951,-6.4094386,173.01099,-22.127716,-171.42323,-24.491062,62.012054,-17.216103,-90.272278,-29.499802,156.799,-1.0422587,-4.2811842,-31.88106,34.398823,6.2604198,-116.09544,-6.0442386,139.1096,-5.2361751,-47.545994,-10.101405,149.60268
325000000,-14.559572,-96.931412,-45.03421,16.65468,-52.673477,178.88933,-46.216358,28.754063,23.531796,173.57124,-5.9188857,171.9391,-23.406418,-170.21013,-22.921688,42.140968,-17.584318,-97.281937,-29.533176,164.58116,-1.0338135,-4.2757502,-31.079546,36.364872,5.9841952,-122.67595,-5.9594374,137.40585,-4.7698388,-46.451359,-9.5113955,141.37291
330000000,-14.24643,-97.158607,-37.231503,5.8321986,-49.176903,-173.97034,-41.741226,44.805428,23.611202,174.0394,-6.5450292,169.26913,-18.694433,175.1129,-22.96792,36.141811,-16.860188,-99.19722,-27.347448,156.26613,-1.0004522,-4.4241099,-31.195787,34.846577,6.8210831,-122.54002,-5.0496292,136.91235,-4.117682,-49.447933,-10.366813,136.30173
335000000,-14.606769,-101.64074,-37.469143,37.688404,-47.848675,161.91376,-50.668167,56.544167,23.683584,173.93649,-7.005723,169.33797,-19.649359,178.10909,-23.083708,33.067894,-16.273779,-101.70112,-28.774763,143.9178,-1.001539,-4.7248712,-29.944273,40.559452,7.4853139,-128.75067,-4.408978,126.72376,-3.6989458,-51.573982,-10.000845,134.32863
340000000,-14.412039,-100.98908,-36.402271,3.2521141,-45.765697,162.25252,-43.250175,31.00766,23.70261,173.55629,-7.5634646,170.89987,-17.436604,173.24362,-22.635853,33.080456,-15.692094,-114.17459,-27.352261,135.83789,-1.0153147,-4.9030614,-30.398787,40.659077,8.2487698,-137.54033,-4.0824986,119.33202,-3.4447424,-55.624813,-10.29626,132.38429
345000000,-14.751143,-101.49312,-36.153942,10.791125,-45.92804,150.57672,-45.207439,42.371132,23.696117,173.52852,-7.7648621,175.33641,-19.877607,170.56422,-21.433952,28.643555,-15.566526,-127.87152,-26.7694,124.63022,-1.0380265,-5.0877361,-30.862242,43.379536,8.5543079,-149.71609,-4.0355721,107.08545,-3.5502756,-58.632401,-9.886466,130.7258
350000000,-14.215633,-104.09147,-38.447121,-8.8387194,-45.933544,150.34396,-42.488262,17.808201,23.738199,173.94519,-7.6189146,177.3931,-22.323689,155.76883,-19.29504,15.396955,-17.320295,-134.6776,-29.499767,118.41453,-1.0361974,-4.8840718,-29.189154,48.413158,7.141809,-157.11954,-6.0330315,101.93871,-3.8119447,-55.829464,-8.9424219,120.99369
355000000,-15.205961,-104.20076,-38.409565,25.714937,-47.025051,145.33076,-46.818817,1.2766125,23.68626,173.11909,-7.353251,176.84062,-18.739382,166.92296,-20.05312,0.96747708,-18.201609,-130.53166,-30.938231,113.22134,-1.0205698,-5.0808988,-28.073709,47.578411,6.4595661,-157.65677,-6.1657338,106.64433,-3.2648876,-56.092236,-9.4215622,113.50587
360000000,-14.727576,-103.78219,-39.298397,-0.33164328,-43.833138,138.15396,-44.106323,-1.3304213,23.662237,173.52213,-7.4238553,-178.90303,-20.929739,152.53839,-19.746189,-7.2613773,-17.555576,-145.49052,-29.200153,110.82322,-1.0392635,-4.9751759,-27.915689,44.490692,6.8089876,-166.54558,-6.1221576,92.027611,-3.4994903,-58.84988,-9.5158081,104.93351
365000000,-14.383953,-103.37617,-37.362457,-6.675848,-43.928608,135.70988,-42.298012,1.0810816,23.684065,173.92354,-7.2918935,-177.66667,-19.685246,124.71758,-18.652248,-12.801493,-18.254093,-146.38289,-31.403641,109.48685,-1.0068101,-5.0624213,-27.209276,42.645473,6.2674952,-170.41731,-7.1504712,92.496201,-3.4285862,-56.85696,-9.547369,99.641243
